Current value: 1.805274145943778, Current params: {'LEARNING_RATE': 0.000998959508133048, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7949962283590672, 'DAMPENING': 0.1953830944366441, 'GAMMA': 0.19437324522566257, 'STEP_SIZE': 11}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.7894878217152186, Current params: {'LEARNING_RATE': 0.0031781129327081124, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.590525232122173, 'DAMPENING': 0.11016180401445677, 'GAMMA': 0.34999520028261044, 'STEP_SIZE': 28}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.6611798909994273, Current params: {'LEARNING_RATE': 0.0007418364446606918, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.523718613026953, 'DAMPENING': 0.09552226943350108, 'GAMMA': 0.6431060034309787, 'STEP_SIZE': 33}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.7065772368357732, Current params: {'LEARNING_RATE': 0.000646682918134948, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.745507023032824, 'DAMPENING': 0.1819789580915148, 'GAMMA': 0.20585313752009726, 'STEP_SIZE': 47}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.9719902643790612, Current params: {'LEARNING_RATE': 0.009822663988725892, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8569511091670781, 'DAMPENING': 0.02851867542071187, 'GAMMA': 0.30911331397201786, 'STEP_SIZE': 32}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.9203193462811983, Current params: {'LEARNING_RATE': 0.008431056623832344, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7272914203880121, 'DAMPENING': 0.07439084220967426, 'GAMMA': 0.8990436301845814, 'STEP_SIZE': 50}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.8073114431821382, Current params: {'LEARNING_RATE': 0.0013119980352171154, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5090594477083538, 'DAMPENING': 0.09621005070977162, 'GAMMA': 0.6228315393498987, 'STEP_SIZE': 40}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.7515010376169224, Current params: {'LEARNING_RATE': 0.002190605926363124, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 16, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.538982209395872, 'DAMPENING': 0.13146380498521648, 'GAMMA': 0.5296759067387644, 'STEP_SIZE': 34}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.8054901552200318, Current params: {'LEARNING_RATE': 0.0004784589574544655, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 32, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5659426309347897, 'DAMPENING': 0.14903149989576892, 'GAMMA': 0.6470898079479639, 'STEP_SIZE': 8}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.6917420530319214, Current params: {'LEARNING_RATE': 0.001003946043559158, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5229787665466034, 'DAMPENING': 0.04898211344175834, 'GAMMA': 0.575238720564668, 'STEP_SIZE': 24}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.7542793921061925, Current params: {'LEARNING_RATE': 0.002783085600348122, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5424580848803761, 'DAMPENING': 0.09554460177019837, 'GAMMA': 0.41637521712619985, 'STEP_SIZE': 33}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.8547759239490216, Current params: {'LEARNING_RATE': 0.0036013377660132056, 'BETA_1': 0.8, 'BETA_2': 0.99, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5855690517219132, 'DAMPENING': 0.1095978689077466, 'GAMMA': 0.7108129213711744, 'STEP_SIZE': 30}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 1.608515272140503, Current params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.6662552642822266, Current params: {'LEARNING_RATE': 0.0014799759074362805, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6066689811625731, 'DAMPENING': 0.06935398910190635, 'GAMMA': 0.8029960861353347, 'STEP_SIZE': 22}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.4448536381577, Current params: {'LEARNING_RATE': 7.535479295835796e-05, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 16, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6406237815103483, 'DAMPENING': 0.05222893247859061, 'GAMMA': 0.8497813825669932, 'STEP_SIZE': 17}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.0358328342437746, Current params: {'LEARNING_RATE': 0.0020920597766969262, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.689510014110056, 'DAMPENING': 0.07802751658325724, 'GAMMA': 0.77345288710934, 'STEP_SIZE': 11}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.4887623500823977, Current params: {'LEARNING_RATE': 0.0012737031079855326, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6116602646611522, 'DAMPENING': 0.07069582966063193, 'GAMMA': 0.8071093020408867, 'STEP_SIZE': 23}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.9276079845428467, Current params: {'LEARNING_RATE': 0.001581914628872675, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6378545026542131, 'DAMPENING': 0.040433980801174885, 'GAMMA': 0.8614586697697291, 'STEP_SIZE': 19}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.29058801651001, Current params: {'LEARNING_RATE': 0.00040495003156868154, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.603903751387823, 'DAMPENING': 0.08801952291872066, 'GAMMA': 0.7496672456916278, 'STEP_SIZE': 26}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.814284291267395, Current params: {'LEARNING_RATE': 0.000914938150701336, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6564983276375413, 'DAMPENING': 0.05408024094403702, 'GAMMA': 0.6813389144001547, 'STEP_SIZE': 22}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.346852307319641, Current params: {'LEARNING_RATE': 0.001686075086902819, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5650567626412015, 'DAMPENING': 0.06974465287087302, 'GAMMA': 0.8012462278659473, 'STEP_SIZE': 20}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.7118377542495729, Current params: {'LEARNING_RATE': 0.0004509943192458276, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 32, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5840590948412185, 'DAMPENING': 0.023734396446118237, 'GAMMA': 0.8473344354584982, 'STEP_SIZE': 25}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.138547430038452, Current params: {'LEARNING_RATE': 0.0014641436997344971, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.6092048480368998, 'DAMPENING': 0.06642581534776529, 'GAMMA': 0.7839477321068821, 'STEP_SIZE': 22}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.843830915597769, Current params: {'LEARNING_RATE': 0.0023585299272570314, 'BETA_1': 0.8, 'BETA_2': 0.999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5560073534989385, 'DAMPENING': 0.0833722233606107, 'GAMMA': 0.8840463416426227, 'STEP_SIZE': 29}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.99787606716156, Current params: {'LEARNING_RATE': 0.006081764011336897, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5141528326381484, 'DAMPENING': 0.05641839886329017, 'GAMMA': 0.7080989894581732, 'STEP_SIZE': 18}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.7747120666503906, Current params: {'LEARNING_RATE': 0.001876692202754235, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8147690596018652, 'DAMPENING': 0.09040539729255907, 'GAMMA': 0.4639270259419709, 'STEP_SIZE': 13}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8063237857818604, Current params: {'LEARNING_RATE': 0.004361560899197241, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5015975067207223, 'DAMPENING': 0.10604301242522315, 'GAMMA': 0.6406147503288324, 'STEP_SIZE': 28}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8039555501937867, Current params: {'LEARNING_RATE': 0.002869801098986409, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5344309657264261, 'DAMPENING': 0.03798822511877628, 'GAMMA': 0.7273277312789563, 'STEP_SIZE': 27}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8084775686264039, Current params: {'LEARNING_RATE': 0.0009233162514810402, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5496708613339542, 'DAMPENING': 0.08179167443756169, 'GAMMA': 0.6762058178518062, 'STEP_SIZE': 25}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8016732549667358, Current params: {'LEARNING_RATE': 0.0026633025187875197, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5935875834278957, 'DAMPENING': 0.0640901171366453, 'GAMMA': 0.5640053881847986, 'STEP_SIZE': 31}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8039162158966064, Current params: {'LEARNING_RATE': 0.0034908292186007976, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6289502398184152, 'DAMPENING': 0.16892565288251085, 'GAMMA': 0.8159593818158063, 'STEP_SIZE': 21}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8330524976436908, Current params: {'LEARNING_RATE': 0.0018641025430293603, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5339024084270492, 'DAMPENING': 0.12556184518946312, 'GAMMA': 0.5877844888449067, 'STEP_SIZE': 16}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.7548387241363526, Current params: {'LEARNING_RATE': 0.0013475644439314587, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5741978954956793, 'DAMPENING': 0.0445756655268314, 'GAMMA': 0.5412745778461017, 'STEP_SIZE': 38}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.708078354296058, Current params: {'LEARNING_RATE': 0.00025835257507150007, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 16, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5174806399458668, 'DAMPENING': 0.07789417842711971, 'GAMMA': 0.1199340730986006, 'STEP_SIZE': 23}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 1.8047889566421509, Current params: {'LEARNING_RATE': 0.0008000894697757972, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6568592388315674, 'DAMPENING': 0.09118280146550564, 'GAMMA': 0.7603156174638522, 'STEP_SIZE': 29}
     Best value: 1.608515272140503, Best params: {'LEARNING_RATE': 0.0014946071531392784, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6069307885692594, 'DAMPENING': 0.07099841175947412, 'GAMMA': 0.7889000511076226, 'STEP_SIZE': 22}

#####################################################
Current value: 2.2998522978562574, Current params: {'LEARNING_RATE': 0.0022476144620602904, 'BETA_1': 0.8, 'BETA_2': 0.999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6112810032868768, 'DAMPENING': 0.11714175165178134, 'GAMMA': 0.48538970298614526, 'STEP_SIZE': 35}
